,datetime,open,high,low,close,volume
18164,2024-04-04 11:49:00,155.96001,155.96001,155.96001,155.96001,30
18165,2024-04-04 11:46:00,155.98,155.98,155.98,155.98,30
18166,2024-04-04 11:44:00,156.67999,156.67999,156.67999,156.67999,20
18167,2024-04-04 11:29:00,156.24001,156.24001,156.24001,156.24001,1
18168,2024-04-04 11:14:00,156.48,156.48,156.48,156.48,16
18169,2024-04-04 11:13:00,156.48,156.48,156.48,156.48,35
18170,2024-04-04 11:04:00,155.94,155.94,155.94,155.94,3
18171,2024-04-04 10:57:00,156.48,156.48,156.48,156.48,4
18172,2024-04-04 10:51:00,156.03999,156.48,156.03999,156.48,160
18173,2024-04-04 10:38:00,156.38,156.38,156.38,156.38,30
18174,2024-04-04 10:34:00,155.92,155.92,155.92,155.92,360
18175,2024-04-04 10:29:00,156.08,156.75999,156.08,156.75999,3200
18176,2024-04-04 10:27:00,155.98,155.98,155.98,155.98,1000
18177,2024-04-04 10:26:00,155.88,155.88,155.36,155.36,2535
18178,2024-04-04 10:15:00,155.94,155.94,155.58,155.58,5
18179,2024-04-04 10:06:00,156.17999,156.17999,156.17999,156.17999,60
18180,2024-04-04 10:00:00,157.2,157.2,157.2,157.2,28
18181,2024-04-04 09:57:00,155.89999,155.89999,155.89999,155.89999,25
18182,2024-04-04 09:33:00,157.10001,157.10001,157.10001,157.10001,2
18183,2024-04-04 09:28:00,155.53999,155.53999,155.53999,155.53999,100
18184,2024-04-04 09:27:00,157.02,157.02,157.02,157.02,22
18185,2024-04-04 09:18:00,156.98,156.98,156.98,156.98,20
18186,2024-04-04 09:06:00,156.0,156.0,156.0,156.0,10
18187,2024-04-04 09:01:00,156.2,156.78,155.60001,155.60001,100
18188,2024-04-04 08:58:00,155.75999,155.75999,155.75999,155.75999,120
18189,2024-04-04 08:55:00,155.74001,155.74001,155.74001,155.74001,10
18190,2024-04-04 08:52:00,155.67999,155.67999,155.67999,155.67999,50
18191,2024-04-04 08:38:00,156.22,156.22,156.22,156.22,320
18192,2024-04-04 08:34:00,155.64,155.64,155.64,155.64,11
18193,2024-04-04 08:14:00,156.14,156.89999,156.14,156.89999,385
18194,2024-04-04 08:11:00,155.5,155.5,155.5,155.5,40
18195,2024-04-04 08:01:00,156.10001,156.10001,156.10001,156.10001,10
18196,2024-04-04 08:00:00,156.10001,156.10001,156.10001,156.10001,0
18197,2024-04-05 21:51:00,152.46001,152.46001,152.46001,152.46001,1
18198,2024-04-05 21:30:00,152.5,152.5,152.5,152.5,10
18199,2024-04-05 20:21:00,152.5,152.5,152.5,152.5,10
18200,2024-04-05 20:06:00,152.78,152.78,152.78,152.78,200
18201,2024-04-05 19:58:00,152.8,153.0,152.8,153.0,44
18202,2024-04-05 19:42:00,153.5,153.5,153.5,153.5,6
18203,2024-04-05 19:07:00,155.5,155.5,155.5,155.5,1
18204,2024-04-05 18:53:00,155.5,155.5,155.5,155.5,3
18205,2024-04-05 18:46:00,154.5,154.5,154.5,154.5,45
18206,2024-04-05 18:17:00,154.0,154.0,154.0,154.0,30
18207,2024-04-05 17:51:00,152.5,152.5,152.5,152.5,30
