,1. open,2. high,3. low,4. close
2024-06-13,0.92470,0.93140,0.92430,0.93080
2024-06-12,0.93070,0.93130,0.92130,0.92470
2024-06-11,0.92880,0.93260,0.92790,0.93060
2024-06-10,0.92780,0.93140,0.92730,0.92860
2024-06-07,0.91800,0.92570,0.91710,0.92560
2024-06-06,0.91970,0.92030,0.91730,0.91790
2024-06-05,0.91900,0.92100,0.91810,0.91960
2024-06-04,0.91650,0.92050,0.91590,0.91890
2024-06-03,0.92140,0.92330,0.91660,0.91700
2024-05-31,0.92290,0.92470,0.91870,0.92130
2024-05-30,0.92550,0.92670,0.92180,0.92280
2024-05-29,0.92060,0.92570,0.92060,0.92530
2024-05-28,0.92060,0.92100,0.91810,0.92050
2024-05-27,0.92140,0.92210,0.92000,0.92080
2024-05-24,0.92440,0.92520,0.92070,0.92170
2024-05-23,0.92350,0.92530,0.92050,0.92440
2024-05-22,0.92100,0.92410,0.92030,0.92370
2024-05-21,0.92060,0.92180,0.91940,0.92090
2024-05-20,0.91970,0.92100,0.91850,0.92070
2024-05-17,0.91980,0.92260,0.91910,0.91980
2024-05-16,0.91830,0.92090,0.91770,0.91990
2024-05-15,0.92410,0.92450,0.91810,0.91860
2024-05-14,0.92650,0.92830,0.92350,0.92410
2024-05-13,0.92810,0.92860,0.92510,0.92670
2024-05-10,0.92710,0.92900,0.92660,0.92830
2024-05-09,0.93000,0.93210,0.92690,0.92730
2024-05-08,0.92960,0.93120,0.92940,0.93010
2024-05-07,0.92820,0.93020,0.92680,0.92950
2024-05-06,0.92890,0.92950,0.92650,0.92830
2024-05-03,0.93180,0.93220,0.92480,0.92880
2024-05-02,0.93290,0.93650,0.93110,0.93210
2024-05-01,0.93720,0.93870,0.93160,0.93320
2024-04-30,0.93250,0.93740,0.93130,0.93710
2024-04-29,0.93460,0.93520,0.93140,0.93250
2024-04-26,0.93170,0.93650,0.92990,0.93470
2024-04-25,0.93440,0.93610,0.93100,0.93180
2024-04-24,0.93400,0.93620,0.93320,0.93450
2024-04-23,0.93840,0.93970,0.93360,0.93410
2024-04-22,0.93790,0.94100,0.93690,0.93840
2024-04-19,0.93930,0.94210,0.93630,0.93800
2024-04-18,0.93650,0.93950,0.93520,0.93940
2024-04-17,0.94150,0.94250,0.93620,0.93670
2024-04-16,0.94100,0.94300,0.93840,0.94150
2024-04-15,0.93970,0.94130,0.93740,0.94100
2024-04-12,0.93200,0.94100,0.93180,0.93930
2024-04-11,0.93060,0.93430,0.92960,0.93200
2024-04-10,0.92080,0.93180,0.92010,0.93050
2024-04-09,0.92060,0.92160,0.91850,0.92070
2024-04-08,0.92250,0.92390,0.92040,0.92060
2024-04-05,0.92240,0.92630,0.92170,0.92240
2024-04-04,0.92250,0.92290,0.91920,0.92250
2024-04-03,0.92810,0.92880,0.92250,0.92280
2024-04-02,0.93060,0.93210,0.92750,0.92800
2024-04-01,0.92670,0.93160,0.92570,0.93050
2024-03-29,0.92670,0.92840,0.92550,0.92620
2024-03-28,0.92390,0.92780,0.92340,0.92660
2024-03-27,0.92280,0.92470,0.92240,0.92330
2024-03-26,0.92250,0.92360,0.92020,0.92290
2024-03-25,0.92520,0.92550,0.92210,0.92260
2024-03-22,0.92040,0.92550,0.91990,0.92470
2024-03-21,0.91530,0.92090,0.91360,0.92050
2024-03-20,0.92000,0.92250,0.91520,0.91530
2024-03-19,0.91950,0.92270,0.91910,0.92010
2024-03-18,0.91810,0.92000,0.91670,0.91940
2024-03-15,0.91840,0.91950,0.91720,0.91780
2024-03-14,0.91290,0.91880,0.91260,0.91840
2024-03-13,0.91480,0.91550,0.91190,0.91300
2024-03-12,0.91500,0.91690,0.91370,0.91490
2024-03-11,0.91370,0.91590,0.91320,0.91490
2024-03-08,0.91320,0.91500,0.91080,0.91400
2024-03-07,0.91730,0.91990,0.91310,0.91320
2024-03-06,0.92070,0.92200,0.91590,0.91720
2024-03-05,0.92090,0.92210,0.91920,0.92080
2024-03-04,0.92210,0.92240,0.92000,0.92090
2024-03-01,0.92520,0.92570,0.92200,0.92230
2024-02-29,0.92240,0.92600,0.92100,0.92520
2024-02-28,0.92160,0.92580,0.92150,0.92240
2024-02-27,0.92120,0.92280,0.92010,0.92180
2024-02-26,0.92280,0.92450,0.92060,0.92130
2024-02-23,0.92370,0.92460,0.92240,0.92380
2024-02-22,0.92380,0.92530,0.91840,0.92370
2024-02-21,0.92510,0.92640,0.92390,0.92410
2024-02-20,0.92780,0.92890,0.92240,0.92500
2024-02-19,0.92770,0.92890,0.92660,0.92750
2024-02-16,0.92820,0.93140,0.92680,0.92760
2024-02-15,0.93190,0.93220,0.92710,0.92800
2024-02-14,0.93330,0.93470,0.93140,0.93190
2024-02-13,0.92810,0.93430,0.92620,0.93360
2024-02-12,0.92730,0.92940,0.92530,0.92810
