Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
07.12.2023;24.263.999.938.964.800;2.440.800.018.310.540;23.697.999.572.753.900;2.415.500.030.517.570;107142300
08.12.2023;24.383.999.633.789.000;24.527.000.427.246.000;23.927.000.427.246.000;24.027.000.427.246.000;102980100
11.12.2023;23.974.000.549.316.400;24.344.000.244.140.600;2.374.499.969.482.420;24.274.000.549.316.400;97913900
12.12.2023;23.700.999.450.683.500;23.899.000.549.316.400;2.338.699.951.171.870;2.385.500.030.517.570;95328300
13.12.2023;2.392.899.932.861.320;2.403.000.030.517.570;2.281.999.969.482.420;23.419.000.244.140.600;146286300
14.12.2023;2.510.500.030.517.570;2.538.800.048.828.120;2.407.899.932.861.320;24.122.000.122.070.300;160829200
15.12.2023;253.5;2.541.300.048.828.120;2.483.000.030.517.570;2.512.100.067.138.670;135720800
18.12.2023;2.520.800.018.310.540;258.739.990.234.375;25.136.000.061.035.100;25.377.999.877.929.600;116416500
19.12.2023;2.572.200.012.207.030;2.583.399.963.378.900;25.300.999.450.683.500;25.347.999.572.753.900;106737400
20.12.2023;24.713.999.938.964.800;2.598.399.963.378.900;247.0;2.564.100.036.621.090;125097000
21.12.2023;254.5;2.548.000.030.517.570;2.485.500.030.517.570;25.189.999.389.648.400;109594200
22.12.2023;2.525.399.932.861.320;2.582.200.012.207.030;2.513.699.951.171.870;256.760.009.765.625;93249800
26.12.2023;2.566.099.853.515.620;2.579.700.012.207.030;25.291.000.366.210.900;25.449.000.549.316.400;86892400
27.12.2023;26.144.000.244.140.600;2.633.399.963.378.900;2.575.199.890.136.710;2.583.500.061.035.150;106494400
28.12.2023;25.317.999.267.578.100;2.651.300.048.828.120;2.527.100.067.138.670;2.636.600.036.621.090;113619900
29.12.2023;24.847.999.572.753.900;25.519.000.244.140.600;24.742.999.267.578.100;25.510.000.610.351.500;100615300
02.01.2024;2.484.199.981.689.450;251.25;24.441.000.366.210.900;2.500.800.018.310.540;104654200
03.01.2024;2.384.499.969.482.420;24.567.999.267.578.100;23.632.000.732.421.800;24.497.999.572.753.900;121082600
04.01.2024;23.792.999.267.578.100;2.426.999.969.482.420;23.772.999.572.753.900;239.25;102629300
05.01.2024;23.749.000.549.316.400;2.401.199.951.171.870;23.489.999.389.648.400;23.686.000.061.035.100;92379400
08.01.2024;2.404.499.969.482.420;241.25;2.353.000.030.517.570;23.613.999.938.964.800;85166600
09.01.2024;2.349.600.067.138.670;2.389.600.067.138.670;2.320.399.932.861.320;23.811.000.061.035.100;96705700
10.01.2024;23.394.000.244.140.600;235.5;2.312.899.932.861.320;23.510.000.610.351.500;91628500
11.01.2024;22.722.000.122.070.300;23.092.999.267.578.100;2.253.699.951.171.870;23.057.000.732.421.800;105873600
12.01.2024;21.888.999.938.964.800;22.533.999.633.789.000;21.714.999.389.648.400;2.200.800.018.310.540;122889000
16.01.2024;21.991.000.366.210.900;22.349.000.549.316.400;21.217.999.267.578.100;21.510.000.610.351.500;115355000
17.01.2024;2.155.500.030.517.570;2.156.699.981.689.450;21.200.999.450.683.500;21.486.000.061.035.100;103164400
18.01.2024;2.118.800.048.828.120;2.174.499.969.482.420;20.874.000.549.316.400;2.168.800.048.828.120;108595400
19.01.2024;21.219.000.244.140.600;21.319.000.244.140.600;20.755.999.755.859.300;20.999.000.549.316.400;102095800
22.01.2024;2.088.000.030.517.570;2.178.000.030.517.570;20.627.000.427.246.000;21.225.999.450.683.500;117952500
23.01.2024;20.913.999.938.964.800;21.564.999.389.648.400;207.75;2.113.000.030.517.570;106605900
24.01.2024;2.078.300.018.310.540;21.272.999.572.753.900;20.677.000.427.246.000;2.118.800.048.828.120;123369900
25.01.2024;1.826.300.048.828.120;193.0;18.005.999.755.859.300;1.896.999.969.482.420;198076800
26.01.2024;183.25;18.677.999.877.929.600;18.210.000.610.351.500;185.5;107343200
29.01.2024;19.092.999.267.578.100;19.147.999.572.753.900;1.836.699.981.689.450;1.856.300.048.828.120;125013100
30.01.2024;19.158.999.633.789.000;19.636.000.061.035.100;19.061.000.061.035.100;1.953.300.018.310.540;109982300
31.01.2024;1.872.899.932.861.320;19.397.000.122.070.300;18.585.000.610.351.500;187.0;103221400
01.02.2024;18.886.000.061.035.100;1.898.800.048.828.120;18.427.999.877.929.600;188.5;91843300
02.02.2024;18.791.000.366.210.900;18.869.000.244.140.600;182.0;1.850.399.932.861.320;110505100
05.02.2024;18.105.999.755.859.300;18.467.999.267.578.100;17.500.999.450.683.500;18.425.999.450.683.500;134294400
06.02.2024;18.510.000.610.351.500;18.649.000.549.316.400;17.711.000.061.035.100;1.772.100.067.138.670;122676000
07.02.2024;1.875.800.018.310.540;1.897.899.932.861.320;18.267.999.267.578.100;18.817.999.267.578.100;111535200
08.02.2024;18.955.999.755.859.300;1.916.199.951.171.870;1.855.800.018.310.540;189.0;83034000
09.02.2024;19.357.000.732.421.800;1.941.199.951.171.870;18.947.999.572.753.900;19.017.999.267.578.100;84476300
12.02.2024;1.881.300.048.828.120;19.472.999.572.753.900;18.727.999.877.929.600;19.211.000.061.035.100;95498600
13.02.2024;18.402.000.427.246.000;18.725.999.450.683.500;18.211.000.061.035.100;18.399.000.549.316.400;86759500
14.02.2024;1.887.100.067.138.670;18.888.999.938.964.800;18.335.000.610.351.500;1.853.000.030.517.570;81203000
15.02.2024;2.004.499.969.482.420;2.008.800.048.828.120;18.886.000.061.035.100;18.916.000.366.210.900;120831800
16.02.2024;1.999.499.969.482.420;2.031.699.981.689.450;19.739.999.389.648.400;20.205.999.755.859.300;111173600
20.02.2024;19.375.999.450.683.500;19.860.000.610.351.500;1.891.300.048.828.120;1.961.300.048.828.120;104545800
21.02.2024;19.477.000.427.246.000;19.944.000.244.140.600;1.919.499.969.482.420;19.336.000.061.035.100;103844000
22.02.2024;19.741.000.366.210.900;19.832.000.732.421.800;19.136.000.061.035.100;194.0;92739500
23.02.2024;19.197.000.122.070.300;19.757.000.732.421.800;191.5;19.530.999.755.859.300;78841900
26.02.2024;19.939.999.389.648.400;20.177.999.877.929.600;192.0;1.922.899.932.861.320;111747100
27.02.2024;19.972.999.572.753.900;20.560.000.610.351.500;19.825.999.450.683.500;2.040.399.932.861.320;108645400
28.02.2024;2.020.399.932.861.320;2.053.000.030.517.570;19.844.000.244.140.600;2.004.199.981.689.450;99806200
29.02.2024;2.018.800.048.828.120;20.527.999.877.929.600;1.984.499.969.482.420;20.417.999.267.578.100;85907000
01.03.2024;20.263.999.938.964.800;20.452.000.427.246.000;198.5;20.052.000.427.246.000;82099200
04.03.2024;18.813.999.938.964.800;199.75;18.672.000.122.070.300;19.872.999.572.753.900;134334900
05.03.2024;18.074.000.549.316.400;18.458.999.633.789.000;17.757.000.732.421.800;1.830.500.030.517.570;119660800
06.03.2024;1.765.399.932.861.320;1.815.800.018.310.540;1.736.999.969.482.420;17.999.000.549.316.400;107920900
07.03.2024;17.864.999.389.648.400;1.800.399.932.861.320;1.736.999.969.482.420;17.435.000.610.351.500;102129000
08.03.2024;17.533.999.633.789.000;18.272.999.572.753.900;1.746.999.969.482.420;181.5;85315300
11.03.2024;17.777.000.427.246.000;1.828.699.951.171.870;1.748.000.030.517.570;1.754.499.969.482.420;85391500
12.03.2024;1.775.399.932.861.320;17.942.999.267.578.100;17.241.000.366.210.900;17.777.000.427.246.000;87391700
13.03.2024;16.947.999.572.753.900;1.760.500.030.517.570;16.914.999.389.648.400;1.730.500.030.517.570;106524500
14.03.2024;162.5;1.711.699.981.689.450;16.050.999.450.683.500;16.777.000.427.246.000;126325700
15.03.2024;16.357.000.732.421.800;16.517.999.267.578.100;16.075.999.450.683.500;16.316.000.366.210.900;96971900
18.03.2024;1.738.000.030.517.570;17.472.000.122.070.300;16.589.999.389.648.400;17.002.000.427.246.000;108214400
19.03.2024;17.132.000.732.421.800;17.282.000.732.421.800;1.674.199.981.689.450;17.236.000.061.035.100;77271400
20.03.2024;17.566.000.366.210.900;176.25;17.082.000.732.421.800;173.0;83846700
21.03.2024;17.282.000.732.421.800;17.817.999.267.578.100;1.718.000.030.517.570;17.638.999.938.964.800;73178000
